locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIPHENGE_00402	CDS	231	adaB	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, inducible
KIPHENGE_00403	CDS	1704				hypothetical protein
KIPHENGE_00404	CDS	237				hypothetical protein
KIPHENGE_00405	CDS	1062	yeeO		COG0534	putative FMN/FAD exporter YeeO
KIPHENGE_00406	CDS	1071	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
KIPHENGE_00407	CDS	1293	cshC	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshC
KIPHENGE_00408	CDS	363	gmuE_1	2.7.1.4	COG1940	Putative fructokinase
KIPHENGE_00409	CDS	495	gmuE_2	2.7.1.4	COG1940	Putative fructokinase
KIPHENGE_00410	CDS	1050				hypothetical protein
KIPHENGE_00411	CDS	1746	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
KIPHENGE_00412	CDS	1755	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
KIPHENGE_00413	CDS	540				hypothetical protein
KIPHENGE_00414	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
KIPHENGE_00415	CDS	249				hypothetical protein
KIPHENGE_00416	CDS	273				hypothetical protein
KIPHENGE_00417	CDS	252				hypothetical protein
KIPHENGE_00418	CDS	759	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
KIPHENGE_00419	CDS	429				hypothetical protein
KIPHENGE_00420	CDS	2166				hypothetical protein
KIPHENGE_00421	CDS	1335	nox_1	1.6.99.3	COG0446	NADH oxidase
KIPHENGE_00422	CDS	417	cshB_1	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
KIPHENGE_00423	CDS	984	cshB_2	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
KIPHENGE_00424	CDS	1011	ccpA_1		COG1609	Catabolite control protein A
KIPHENGE_00425	CDS	687				hypothetical protein
KIPHENGE_00426	CDS	660				hypothetical protein
KIPHENGE_00427	CDS	213				hypothetical protein
KIPHENGE_00428	CDS	3351	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
KIPHENGE_00429	CDS	966	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase
KIPHENGE_00430	CDS	1758	pyk	2.7.1.40		Pyruvate kinase
KIPHENGE_00431	CDS	597				hypothetical protein
KIPHENGE_00432	CDS	2424				hypothetical protein
KIPHENGE_00433	CDS	909	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KIPHENGE_00434	CDS	1281	yhaP		COG1668	putative protein YhaP
KIPHENGE_00435	CDS	1464				hypothetical protein
KIPHENGE_00436	CDS	936				hypothetical protein
KIPHENGE_00437	CDS	1614	ponA		COG0744	Penicillin-binding protein 1A
KIPHENGE_00438	CDS	642	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
KIPHENGE_00439	CDS	678	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
KIPHENGE_00440	CDS	582	resA_1			Thiol-disulfide oxidoreductase ResA
KIPHENGE_00441	CDS	1122	msrAB		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB
KIPHENGE_00442	CDS	1281	tig	5.2.1.8	COG0544	Trigger factor
KIPHENGE_00443	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
KIPHENGE_00444	CDS	588	engB_1		COG0218	putative GTP-binding protein EngB
KIPHENGE_00445	CDS	1251				hypothetical protein
KIPHENGE_00446	CDS	1899	dnaG_2	2.7.7.-		DNA primase
KIPHENGE_00447	CDS	1140	sigA		COG0568	RNA polymerase sigma factor SigA
KIPHENGE_00448	CDS	894	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
KIPHENGE_00449	CDS	2046	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
KIPHENGE_00450	CDS	1305	obg_1	3.6.5.-	COG0536	GTPase Obg
KIPHENGE_00451	CDS	1848	oatA_1	2.3.1.-		O-acetyltransferase OatA
KIPHENGE_00452	CDS	951	rnz	3.1.26.11	COG1234	Ribonuclease Z
KIPHENGE_00453	CDS	810	actIII	1.3.1.-		Putative ketoacyl reductase
KIPHENGE_00454	CDS	519				hypothetical protein
KIPHENGE_00455	CDS	2334				hypothetical protein
KIPHENGE_00456	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
KIPHENGE_00457	CDS	618	lexA	3.4.21.88	COG1974	LexA repressor
KIPHENGE_00458	CDS	252				hypothetical protein
KIPHENGE_00459	CDS	216				hypothetical protein
KIPHENGE_00460	CDS	480				hypothetical protein
KIPHENGE_00461	CDS	441				hypothetical protein
KIPHENGE_00462	CDS	906				hypothetical protein
KIPHENGE_00463	CDS	732	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
KIPHENGE_00464	CDS	795	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
KIPHENGE_00465	CDS	1269	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
KIPHENGE_00466	CDS	708	polC_1	2.7.7.7		DNA polymerase III PolC-type
KIPHENGE_00467	CDS	3537	polC_2	2.7.7.7	COG2176	DNA polymerase III PolC-type
KIPHENGE_00468	CDS	1914				hypothetical protein
KIPHENGE_00469	CDS	1443				hypothetical protein
KIPHENGE_00470	CDS	1158				hypothetical protein
KIPHENGE_00471	CDS	1044				hypothetical protein
KIPHENGE_00472	CDS	1362				hypothetical protein
KIPHENGE_00473	CDS	888				hypothetical protein
KIPHENGE_00474	CDS	153	rpmGA			50S ribosomal protein L33 1
KIPHENGE_00475	CDS	1377				hypothetical protein
KIPHENGE_00476	CDS	1329	hisS	6.1.1.21		Histidine--tRNA ligase
KIPHENGE_00477	CDS	1767	aspS	6.1.1.12		Aspartate--tRNA ligase
KIPHENGE_00478	CDS	828	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
KIPHENGE_00479	CDS	516	zur		COG0735	Zinc-specific metallo-regulatory protein
KIPHENGE_00480	CDS	174	rpsU		COG0828	30S ribosomal protein S21
KIPHENGE_00481	CDS	1203	patB_2	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
KIPHENGE_00482	CDS	390	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
KIPHENGE_00483	CDS	444	yqeY		COG1610	putative protein YqeY
KIPHENGE_00484	CDS	987			COG1702	PhoH-like protein
KIPHENGE_00485	CDS	2223	pgpH	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
KIPHENGE_00486	CDS	531	ybeY	3.1.-.-		Endoribonuclease YbeY
KIPHENGE_00487	CDS	420	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
KIPHENGE_00488	CDS	906	era		COG1159	GTPase Era
KIPHENGE_00489	CDS	759	recO		COG1381	DNA repair protein RecO
KIPHENGE_00490	CDS	1485				hypothetical protein
KIPHENGE_00491	CDS	981	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
KIPHENGE_00492	CDS	2178				hypothetical protein
KIPHENGE_00493	CDS	717				hypothetical protein
KIPHENGE_00494	CDS	1404				hypothetical protein
KIPHENGE_00495	CDS	639				hypothetical protein
KIPHENGE_00496	CDS	453	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
KIPHENGE_00497	CDS	930	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
KIPHENGE_00498	CDS	717				hypothetical protein
KIPHENGE_00499	CDS	3429				hypothetical protein
KIPHENGE_00500	CDS	810	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
KIPHENGE_00501	CDS	330	sufT			Fe-S protein maturation auxiliary factor SufT
KIPHENGE_00502	CDS	285	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
KIPHENGE_00503	CDS	279	clpB_1		COG0542	Chaperone protein ClpB
KIPHENGE_00504	CDS	2157	clpB_2		COG0542	Chaperone protein ClpB
KIPHENGE_00505	CDS	1140				hypothetical protein
KIPHENGE_00506	CDS	1629				hypothetical protein
KIPHENGE_00507	CDS	615				hypothetical protein
KIPHENGE_00508	CDS	993				hypothetical protein
KIPHENGE_00509	CDS	582				hypothetical protein
KIPHENGE_00510	CDS	1263				hypothetical protein
KIPHENGE_00511	CDS	1485	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
KIPHENGE_00512	CDS	765	rpsB		COG0052	30S ribosomal protein S2
KIPHENGE_00513	CDS	882	tsf			Elongation factor Ts
KIPHENGE_00514	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
KIPHENGE_00515	CDS	162	frr_1		COG0233	Ribosome-recycling factor
KIPHENGE_00516	CDS	369	frr_2			Ribosome-recycling factor
KIPHENGE_00517	CDS	927	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
KIPHENGE_00518	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
KIPHENGE_00519	CDS	1191	nusA		COG0195	Transcription termination/antitermination protein NusA
KIPHENGE_00520	CDS	306				hypothetical protein
KIPHENGE_00521	CDS	297	rplGA		COG1358	putative ribosomal protein YlxQ
KIPHENGE_00522	CDS	2298	infB			Translation initiation factor IF-2
KIPHENGE_00523	CDS	360	rbfA			Ribosome-binding factor A
KIPHENGE_00524	CDS	2688	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
KIPHENGE_00525	CDS	930	truB	5.4.99.25		tRNA pseudouridine synthase B
KIPHENGE_00526	CDS	948	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
KIPHENGE_00527	CDS	1173	hemW		COG0635	Heme chaperone HemW
KIPHENGE_00528	CDS	870				hypothetical protein
KIPHENGE_00529	CDS	990	hrcA		COG1420	Heat-inducible transcription repressor HrcA
KIPHENGE_00530	CDS	597	grpE			Protein GrpE
KIPHENGE_00531	CDS	1833	dnaK		COG0443	Chaperone protein DnaK
KIPHENGE_00532	CDS	1158	dnaJ		COG0484	Chaperone protein DnaJ
KIPHENGE_00533	CDS	1833	lepA	3.6.5.-		Elongation factor 4
KIPHENGE_00534	CDS	1062	adh	1.1.1.1	COG1063	Alcohol dehydrogenase
KIPHENGE_00535	CDS	750	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
KIPHENGE_00536	CDS	1542	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
KIPHENGE_00537	CDS	1284	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
KIPHENGE_00538	CDS	1254	adhE_2		COG1012	Aldehyde-alcohol dehydrogenase
KIPHENGE_00539	CDS	522	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
KIPHENGE_00540	CDS	450				hypothetical protein
KIPHENGE_00541	CDS	855				hypothetical protein
KIPHENGE_00542	CDS	387				hypothetical protein
KIPHENGE_00543	CDS	768	vanYB	3.4.17.-	COG1876	D-alanyl-D-alanine carboxypeptidase
KIPHENGE_00544	CDS	1026				hypothetical protein
KIPHENGE_00545	CDS	765				hypothetical protein
KIPHENGE_00546	CDS	1335				hypothetical protein
KIPHENGE_00547	CDS	351				hypothetical protein
KIPHENGE_00548	CDS	342				hypothetical protein
KIPHENGE_00549	CDS	357				hypothetical protein
KIPHENGE_00550	CDS	1710				hypothetical protein
KIPHENGE_00551	CDS	177				hypothetical protein
KIPHENGE_00552	CDS	975				hypothetical protein
KIPHENGE_00553	CDS	672	yncB	3.1.-.-	COG1525	Endonuclease YncB
KIPHENGE_00554	CDS	564				hypothetical protein
KIPHENGE_00555	CDS	465	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
KIPHENGE_00556	CDS	1164	rhaR_2			HTH-type transcriptional activator RhaR
KIPHENGE_00557	CDS	228	nrdH		COG0695	Glutaredoxin-like protein NrdH
KIPHENGE_00558	CDS	840				hypothetical protein
KIPHENGE_00559	CDS	792	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
KIPHENGE_00560	CDS	876				hypothetical protein
KIPHENGE_00561	CDS	981				hypothetical protein
KIPHENGE_00562	CDS	1701	rqcH		COG1293	Rqc2 RqcH
KIPHENGE_00563	CDS	675	resA_2			Thiol-disulfide oxidoreductase ResA
KIPHENGE_00564	CDS	930	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
KIPHENGE_00565	CDS	390	pflA	1.97.1.4		Pyruvate formate-lyase-activating enzyme
KIPHENGE_00566	CDS	333	cutD	1.97.1.-		Choline trimethylamine-lyase activating enzyme
KIPHENGE_00567	CDS	2229	pflB_2	2.3.1.54		Formate acetyltransferase
KIPHENGE_00568	CDS	2460	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
KIPHENGE_00569	CDS	2127	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
KIPHENGE_00570	CDS	348	plsY_1	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
KIPHENGE_00571	CDS	270	plsY_2	2.3.1.275		Glycerol-3-phosphate acyltransferase
KIPHENGE_00572	CDS	1821	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
KIPHENGE_00573	CDS	882	lacX			Protein LacX, plasmid
KIPHENGE_00574	CDS	684	clpY_1		COG1220	ATP-dependent protease ATPase subunit ClpY
KIPHENGE_00575	CDS	708	clpY_2		COG1220	ATP-dependent protease ATPase subunit ClpY
KIPHENGE_00576	CDS	525	clpQ	3.4.21.-	COG5405	ATP-dependent protease subunit ClpQ
KIPHENGE_00577	CDS	996	xerC_4		COG4974	Tyrosine recombinase XerC
KIPHENGE_00578	CDS	2061	topA	5.6.2.1		DNA topoisomerase 1
KIPHENGE_00579	CDS	909				hypothetical protein
KIPHENGE_00580	CDS	279				hypothetical protein
KIPHENGE_00581	CDS	684				hypothetical protein
KIPHENGE_00582	CDS	603				hypothetical protein
KIPHENGE_00583	CDS	1422				hypothetical protein
KIPHENGE_00584	CDS	381	blaI		COG3682	Penicillinase repressor
KIPHENGE_00585	CDS	783	rnhB	3.1.26.4	COG0164	Ribonuclease HII
KIPHENGE_00586	CDS	870	rbgA		COG1161	Ribosome biogenesis GTPase A
KIPHENGE_00587	CDS	600	sipS	3.4.21.89	COG0681	Signal peptidase I S
KIPHENGE_00588	CDS	1425	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
KIPHENGE_00589	CDS	723	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
KIPHENGE_00590	CDS	219				hypothetical protein
KIPHENGE_00591	CDS	648				hypothetical protein
KIPHENGE_00592	CDS	420				hypothetical protein
KIPHENGE_00593	CDS	396				hypothetical protein
KIPHENGE_00594	CDS	564				hypothetical protein
KIPHENGE_00595	CDS	441	yohK		COG1346	Inner membrane protein YohK
KIPHENGE_00596	CDS	249				hypothetical protein
KIPHENGE_00597	CDS	396	lrgA		COG1380	Antiholin-like protein LrgA
KIPHENGE_00598	CDS	309	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
KIPHENGE_00599	CDS	495	gpmA_2	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
KIPHENGE_00600	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
KIPHENGE_00601	CDS	414				hypothetical protein
KIPHENGE_00602	CDS	453				hypothetical protein
KIPHENGE_00603	CDS	690	yecS		COG0765	L-cystine transport system permease protein YecS
KIPHENGE_00604	CDS	828	yckB		COG0834	putative ABC transporter extracellular-binding protein YckB
KIPHENGE_00605	CDS	183	tatAd			Sec-independent protein translocase protein TatAd
KIPHENGE_00606	CDS	738	tatC1		COG0805	Sec-independent protein translocase protein TatCd
KIPHENGE_00607	CDS	1728				hypothetical protein
KIPHENGE_00608	CDS	1242	efeN	1.11.1.-	COG2837	putative deferrochelatase/peroxidase EfeN
KIPHENGE_00609	CDS	873	efeO		COG2822	Iron uptake system component EfeO
KIPHENGE_00610	CDS	942	pip	3.4.11.5		Proline iminopeptidase
KIPHENGE_00611	CDS	510	folA	1.5.1.3		Dihydrofolate reductase
KIPHENGE_00612	CDS	843	thyA	2.1.1.45	COG0207	Thymidylate synthase
KIPHENGE_00613	CDS	507	uup		COG0488	ABC transporter ATP-binding protein uup
KIPHENGE_00614	CDS	1371	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
KIPHENGE_00615	CDS	1713		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
KIPHENGE_00616	CDS	837				hypothetical protein
KIPHENGE_00617	CDS	1029	tarJ	1.1.1.405	COG1063	Ribulose-5-phosphate reductase
KIPHENGE_00618	CDS	708	tarI	2.7.7.40	COG1211	Ribitol-5-phosphate cytidylyltransferase
KIPHENGE_00619	CDS	693	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
KIPHENGE_00620	CDS	936				hypothetical protein
KIPHENGE_00621	CDS	1863	thiK	2.7.1.89		Thiamine kinase
KIPHENGE_00622	CDS	390				hypothetical protein
KIPHENGE_00623	CDS	687	dnaD		COG3935	DNA replication protein DnaD
KIPHENGE_00624	CDS	1836	typA		COG1217	GTP-binding protein TypA/BipA
KIPHENGE_00625	CDS	813	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
KIPHENGE_00626	CDS	312				hypothetical protein
KIPHENGE_00627	CDS	621	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
KIPHENGE_00628	CDS	714	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
KIPHENGE_00629	CDS	2568	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
KIPHENGE_00630	CDS	564	carB_2	6.3.5.5		Carbamoyl-phosphate synthase large chain
KIPHENGE_00631	CDS	1101	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
KIPHENGE_00632	CDS	1278	pyrC_2	3.5.2.3		Dihydroorotase
KIPHENGE_00633	CDS	882	pyrB	2.1.3.2		Aspartate carbamoyltransferase
KIPHENGE_00634	CDS	525	pyrR			Bifunctional protein pyrR
KIPHENGE_00635	CDS	1026				hypothetical protein
KIPHENGE_00636	CDS	1407	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
KIPHENGE_00637	CDS	1302	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
KIPHENGE_00638	CDS	783	pdhB	1.2.4.1	COG0022	Pyruvate dehydrogenase E1 component subunit beta
KIPHENGE_00639	CDS	174				hypothetical protein
KIPHENGE_00640	CDS	1101	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
KIPHENGE_00641	CDS	891	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
KIPHENGE_00642	CDS	1062	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
KIPHENGE_00643	CDS	1071	dppC		COG1173	Dipeptide transport system permease protein DppC
KIPHENGE_00644	CDS	939	oppB		COG0601	Oligopeptide transport system permease protein OppB
KIPHENGE_00645	CDS	138				hypothetical protein
KIPHENGE_00646	CDS	1146	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
KIPHENGE_00647	CDS	1260	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
KIPHENGE_00648	CDS	1272	dinB_1	2.7.7.7		DNA polymerase IV
KIPHENGE_00649	CDS	357				hypothetical protein
KIPHENGE_00650	CDS	627				hypothetical protein
KIPHENGE_00651	CDS	402	glpE_2	2.8.1.1		Thiosulfate sulfurtransferase GlpE
KIPHENGE_00652	CDS	975	glcK	2.7.1.2	COG1940	Glucokinase
KIPHENGE_00653	CDS	711	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
KIPHENGE_00654	CDS	576	yqgN		COG0212	putative protein YqgN
KIPHENGE_00655	CDS	789				hypothetical protein
KIPHENGE_00656	CDS	624	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
KIPHENGE_00657	CDS	633	nth	4.2.99.18	COG0177	Endonuclease III
KIPHENGE_00658	CDS	1377				hypothetical protein
KIPHENGE_00659	CDS	684				hypothetical protein
KIPHENGE_00660	CDS	798				hypothetical protein
KIPHENGE_00661	CDS	1758				hypothetical protein
KIPHENGE_00662	CDS	1320				hypothetical protein
KIPHENGE_00663	CDS	438				hypothetical protein
KIPHENGE_00664	CDS	1008				hypothetical protein
KIPHENGE_00665	CDS	1833				hypothetical protein
KIPHENGE_00666	CDS	927				hypothetical protein
KIPHENGE_00667	CDS	1773				hypothetical protein
KIPHENGE_00668	CDS	348	rplS		COG0335	50S ribosomal protein L19
KIPHENGE_00669	CDS	732	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
KIPHENGE_00670	CDS	534	rimM			Ribosome maturation factor RimM
KIPHENGE_00671	CDS	990				hypothetical protein
KIPHENGE_00672	CDS	978				hypothetical protein
KIPHENGE_00673	CDS	1011				hypothetical protein
KIPHENGE_00674	CDS	975				hypothetical protein
KIPHENGE_00675	CDS	963				hypothetical protein
KIPHENGE_00676	CDS	264				hypothetical protein
KIPHENGE_00677	CDS	264	rpsP		COG0228	30S ribosomal protein S16
KIPHENGE_00678	CDS	918	ssaB		COG0803	Manganese ABC transporter substrate-binding lipoprotein
KIPHENGE_00679	CDS	849	mntB			Manganese transport system membrane protein MntB
KIPHENGE_00680	CDS	732	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
KIPHENGE_00681	CDS	1023		6.3.1.20		Lipoate--protein ligase 2
KIPHENGE_00682	CDS	876		2.4.2.-		Protein ADP-ribosyltransferase
KIPHENGE_00683	CDS	804		3.2.1.-		Protein-ADP-ribose hydrolase
KIPHENGE_00684	CDS	339				Glycine cleavage system H-like protein
KIPHENGE_00685	CDS	1008				hypothetical protein
KIPHENGE_00686	CDS	813		1.-.-.-		putative oxidoreductase
KIPHENGE_00687	CDS	447		1.-.-.-		putative oxidoreductase
KIPHENGE_00688	CDS	1476	ffh		COG0541	Signal recognition particle protein
KIPHENGE_00689	CDS	321				hypothetical protein
KIPHENGE_00690	CDS	372	mntR		COG1321	HTH-type transcriptional regulator MntR
KIPHENGE_00691	CDS	435				hypothetical protein
KIPHENGE_00692	CDS	879	ftsY		COG0552	Signal recognition particle receptor FtsY
KIPHENGE_00693	CDS	810	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
KIPHENGE_00694	CDS	987	smc_1			Chromosome partition protein Smc
KIPHENGE_00695	CDS	2589	smc_2		COG1196	Chromosome partition protein Smc
KIPHENGE_00696	CDS	738	rnc	3.1.26.3	COG0571	Ribonuclease 3
KIPHENGE_00697	CDS	1749	appA_1			Oligopeptide-binding protein AppA
KIPHENGE_00698	CDS	1752				hypothetical protein
KIPHENGE_00699	CDS	1752	appA_2			Oligopeptide-binding protein AppA
KIPHENGE_00700	CDS	1752	appA_3			Oligopeptide-binding protein AppA
KIPHENGE_00701	CDS	1746	appA_4			Oligopeptide-binding protein AppA
KIPHENGE_00702	CDS	1647	oppA		COG4166	Oligopeptide-binding protein OppA
KIPHENGE_00703	CDS	936	oppC		COG1173	Oligopeptide transport system permease protein OppC
KIPHENGE_00704	CDS	963	gsiC		COG0601	Glutathione transport system permease protein GsiC
KIPHENGE_00705	CDS	960	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
KIPHENGE_00706	CDS	1011	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
KIPHENGE_00707	CDS	243	acpP		COG0236	Acyl carrier protein
KIPHENGE_00708	CDS	1020	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
KIPHENGE_00709	CDS	1080	recG_1	3.6.4.12		ATP-dependent DNA helicase RecG
KIPHENGE_00710	CDS	207	recG_2	3.6.4.12		ATP-dependent DNA helicase RecG
KIPHENGE_00711	CDS	798	recG_3	3.6.4.12		ATP-dependent DNA helicase RecG
KIPHENGE_00712	CDS	1674				putative protein
KIPHENGE_00713	CDS	357				putative protein
KIPHENGE_00714	CDS	189	rpmB			50S ribosomal protein L28
KIPHENGE_00715	CDS	675	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
KIPHENGE_00716	CDS	648	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
KIPHENGE_00717	CDS	816	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
KIPHENGE_00718	CDS	1980	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
KIPHENGE_00719	CDS	768	stp	3.1.3.16	COG0631	Serine/threonine phosphatase stp
KIPHENGE_00720	CDS	1374	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
KIPHENGE_00721	CDS	231				hypothetical protein
KIPHENGE_00722	CDS	816	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
KIPHENGE_00723	CDS	2406	priA	3.6.4.-		primosomal protein N'
KIPHENGE_00724	CDS	198	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
KIPHENGE_00725	CDS	636	gmk	2.7.4.8	COG0194	Guanylate kinase
KIPHENGE_00726	CDS	972	yidC			Membrane protein insertase YidC
KIPHENGE_00727	CDS	1476	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
KIPHENGE_00728	CDS	705	arlR		COG0745	Response regulator ArlR
KIPHENGE_00729	CDS	684	mltG_1	4.2.2.-		Endolytic murein transglycosylase
KIPHENGE_00730	CDS	408				hypothetical protein
KIPHENGE_00731	CDS	582	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
KIPHENGE_00732	CDS	1050				hypothetical protein
KIPHENGE_00733	CDS	1293				hypothetical protein
KIPHENGE_00734	CDS	1299				hypothetical protein
KIPHENGE_00735	CDS	954				hypothetical protein
KIPHENGE_00736	CDS	1068				hypothetical protein
KIPHENGE_00737	CDS	1572	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
KIPHENGE_00738	CDS	1026	tmpC		COG1744	Membrane lipoprotein TmpC
KIPHENGE_00739	CDS	618	panT		COG4684	Pantothenic acid transporter PanT
KIPHENGE_00740	CDS	327				hypothetical protein
KIPHENGE_00741	CDS	636	liaR		COG2197	Transcriptional regulatory protein LiaR
KIPHENGE_00742	CDS	1059	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
KIPHENGE_00743	CDS	561				hypothetical protein
KIPHENGE_00744	CDS	480	greA		COG0782	Transcription elongation factor GreA
KIPHENGE_00745	CDS	651	udk	2.7.1.48	COG0572	Uridine kinase
KIPHENGE_00746	CDS	1176	mltG_2	4.2.2.-		Endolytic murein transglycosylase
KIPHENGE_00747	CDS	333				hypothetical protein
KIPHENGE_00748	CDS	429	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
KIPHENGE_00749	CDS	258				hypothetical protein
KIPHENGE_00750	CDS	1041	alaS_1	6.1.1.7		Alanine--tRNA ligase
KIPHENGE_00751	CDS	1524	alaS_2	6.1.1.7		Alanine--tRNA ligase
KIPHENGE_00752	CDS	180				hypothetical protein
KIPHENGE_00753	CDS	651				hypothetical protein
KIPHENGE_00754	CDS	108				hypothetical protein
KIPHENGE_00755	CDS	825		3.1.3.-		Putative phosphatase
KIPHENGE_00756	tRNA	83				tRNA-Leu(cag)
KIPHENGE_00757	CDS	333	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
KIPHENGE_00758	CDS	2211	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
